asset_name,event_type,event_date,downtime_hours
Winder-1,repair_complete,2023-08-20,0.0
Haul Truck-3,failure,2023-10-18,8.0
Haul Truck-3,repair_complete,2023-10-22,0.0
LHD-1,failure,2023-12-17,8.0
LHD-1,repair_complete,2023-12-18,0.0
Winder-1,failure,2024-01-08,8.0
Winder-1,repair_complete,2024-01-13,0.0
Haul Truck-3,failure,2024-01-24,8.0
Haul Truck-3,repair_complete,2024-02-05,0.0
Drill Rig-2,failure,2024-02-26,8.0
Drill Rig-2,repair_complete,2024-03-03,0.0
Haul Truck-3,failure,2024-03-30,8.0
Haul Truck-3,repair_complete,2024-04-01,0.0
Winder-1,failure,2024-04-18,8.0
Winder-1,repair_complete,2024-04-20,0.0
Drill Rig-2,failure,2024-05-03,8.0
Drill Rig-2,repair_complete,2024-05-05,0.0
LHD-2,failure,2024-05-22,8.0
LHD-2,repair_complete,2024-05-24,0.0
LHD-1,failure,2024-06-07,8.0
LHD-1,repair_complete,2024-06-08,0.0
Winder-1,failure,2024-06-16,8.0
Winder-1,repair_complete,2024-06-18,0.0
Haul Truck-3,failure,2024-07-23,8.0
LHD-2,failure,2024-07-24,8.0
LHD-2,repair_complete,2024-07-26,0.0
Haul Truck-3,repair_complete,2024-07-28,0.0
Haul Truck-3,failure,2024-08-05,8.0
Haul Truck-3,repair_complete,2024-08-10,0.0
Drill Rig-2,failure,2024-09-01,8.0
Drill Rig-2,repair_complete,2024-09-03,0.0
LHD-1,failure,2024-09-09,8.0
LHD-1,repair_complete,2024-09-12,0.0
LHD-2,failure,2024-10-03,8.0
LHD-2,repair_complete,2024-10-06,0.0
Winder-1,failure,2024-11-03,8.0
Winder-1,repair_complete,2024-11-05,0.0
LHD-2,failure,2024-11-11,8.0
LHD-2,repair_complete,2024-11-15,0.0
LHD-2,failure,2024-12-26,8.0
LHD-2,repair_complete,2024-12-30,0.0
Drill Rig-2,failure,2025-01-27,8.0
Drill Rig-2,repair_complete,2025-01-29,0.0
Haul Truck-3,failure,2025-04-16,8.0
Haul Truck-3,repair_complete,2025-04-19,0.0
Winder-1,failure,2025-08-15,8.0
Winder-1,repair_complete,2025-08-17,0.0
LHD-2,failure,2025-08-27,8.0
LHD-2,repair_complete,2025-08-28,0.0
Haul Truck-3,failure,2025-09-24,8.0
Haul Truck-3,repair_complete,2025-09-26,0.0
Haul Truck-3,failure,2025-10-02,8.0
Haul Truck-3,repair_complete,2025-10-07,0.0
Winder-1,failure,2025-10-11,8.0
Winder-1,repair_complete,2025-10-14,0.0
LHD-2,failure,2025-10-17,8.0
LHD-2,repair_complete,2025-10-22,0.0
LHD-1,failure,2025-10-25,8.0
LHD-1,repair_complete,2025-10-28,0.0
LHD-2,failure,2026-01-29,8.0
LHD-2,repair_complete,2026-01-31,0.0
LHD-1,failure,2026-02-10,8.0
LHD-1,repair_complete,2026-02-12,0.0
Winder-1,failure,2026-04-14,8.0
Winder-1,repair_complete,2026-04-17,0.0
LHD-1,failure,2026-05-04,8.0
LHD-1,repair_complete,2026-05-08,0.0
Haul Truck-3,failure,2026-05-14,8.0
LHD-2,failure,2026-05-15,8.0
LHD-2,repair_complete,2026-05-18,0.0
Haul Truck-3,repair_complete,2026-05-19,0.0
Drill Rig-2,failure,2026-06-16,8.0
Drill Rig-2,repair_complete,2026-06-23,0.0
Winder-1,failure,2026-08-29,8.0
